0.344,0.054,242.66,1.4,0.0,0.0,0.0
0.31,0.25,243.03,1.6,0.0,2.0,1.0
0.246,0.0,245.19,1.0,0.0,0.0,1.0
0.444,0.23,243.04,2.0,0.0,0.0,0.0
1.932,0.256,237.08,8.2,1.0,0.0,17.0
0.306,0.116,234.65,1.4,0.0,0.0,0.0
0.412,0.106,241.28,1.8,0.0,0.0,0.0
1.34,0.122,242.82,5.4,0.0,0.0,1.0
0.29,0.106,239.66,1.2,0.0,1.0,1.0
0.44,0.26,233.81,2.2,0.0,1.0,0.0
0.968,0.238,247.02,4.0,1.0,0.0,0.0
0.252,0.0,241.04,1.2,0.0,0.0,1.0
1.228,0.672,240.04,6.6,0.0,1.0,1.0
0.148,0.0,239.52,0.6,0.0,0.0,0.0
0.32,0.098,239.25,1.4,0.0,0.0,1.0
0.352,0.0,247.16,1.6,0.0,0.0,0.0
1.762,0.232,239.56,7.4,1.0,2.0,18.0
0.27,0.122,239.29,1.2,0.0,0.0,1.0
1.628,0.376,237.64,7.0,1.0,1.0,18.0
0.318,0.276,242.79,1.6,0.0,1.0,1.0
2.114,0.0,236.39,8.8,0.0,0.0,17.0
1.442,0.092,243.66,5.8,0.0,1.0,19.0
0.468,0.17,245.84,2.0,0.0,0.0,0.0
1.274,0.0,239.08,5.2,0.0,0.0,17.0
0.58,0.23,245.07,2.6,0.0,0.0,0.0
1.238,0.048,237.39,5.2,0.0,0.0,18.0
0.11,0.06,243.01,0.4,0.0,0.0,0.0
0.516,0.328,242.04,2.6,0.0,1.0,1.0
0.138,0.0,239.52,0.6,0.0,0.0,0.0
1.534,0.222,235.36,6.6,0.0,0.0,1.0
0.208,0.062,244.29,0.8,0.0,0.0,0.0
0.298,0.0,243.45,1.4,0.0,0.0,0.0
0.398,0.124,241.26,1.8,0.0,0.0,0.0
1.368,0.094,238.43,5.6,0.0,0.0,18.0
1.484,0.222,243.08,6.0,0.0,0.0,18.0
0.348,0.1,239.22,1.6,1.0,0.0,0.0
0.386,0.144,248.07,1.6,0.0,1.0,0.0
4.256,0.268,236.43,18.0,44.0,0.0,0.0
0.238,0.128,239.87,1.0,0.0,0.0,0.0
1.85,0.36,236.56,8.8,0.0,25.0,0.0
4.874,0.246,237.16,21.0,10.0,36.0,0.0
1.3,0.236,238.37,5.4,0.0,0.0,1.0
1.622,0.102,242.45,6.8,0.0,21.0,1.0
0.578,0.442,242.88,3.0,0.0,1.0,0.0
2.406,0.1,235.67,10.4,2.0,0.0,17.0
2.392,0.244,240.49,10.4,0.0,0.0,28.0
0.326,0.112,245.54,1.6,0.0,0.0,0.0
0.334,0.0,239.83,1.8,0.0,0.0,4.0
0.65,0.116,241.7,3.0,0.0,0.0,1.0
